,epoch,minibatch,trainstep,task,binacc
0,0,0,0,tox,tensor(0.7837)
1,1,0,1,tox,tensor(0.8097)
2,2,0,2,tox,tensor(0.8216)
3,3,0,3,tox,tensor(0.8399)
4,4,0,4,tox,tensor(0.8520)
5,5,0,5,tox,tensor(0.8600)
6,6,0,6,tox,tensor(0.8678)
7,7,0,7,tox,tensor(0.8739)
8,8,0,8,tox,tensor(0.8791)
9,9,0,9,tox,tensor(0.8853)
10,10,0,10,tox,tensor(0.8911)
11,11,0,11,tox,tensor(0.8951)
12,12,0,12,tox,tensor(0.8996)
13,13,0,13,tox,tensor(0.9036)
14,14,0,14,tox,tensor(0.9071)
15,15,0,15,tox,tensor(0.9097)
16,16,0,16,tox,tensor(0.9125)
17,17,0,17,tox,tensor(0.9153)
18,18,0,18,tox,tensor(0.9177)
19,19,0,19,tox,tensor(0.9201)
20,20,0,20,tox,tensor(0.9222)
21,21,0,21,tox,tensor(0.9242)
22,22,0,22,tox,tensor(0.9259)
23,23,0,23,tox,tensor(0.9275)
24,24,0,24,tox,tensor(0.9292)
25,25,0,25,tox,tensor(0.9308)
26,26,0,26,tox,tensor(0.9322)
27,27,0,27,tox,tensor(0.9335)
28,28,0,28,tox,tensor(0.9348)
29,29,0,29,tox,tensor(0.9360)
30,30,0,30,tox,tensor(0.9369)
31,31,0,31,tox,tensor(0.9379)
32,32,0,32,tox,tensor(0.9389)
33,33,0,33,tox,tensor(0.9397)
34,34,0,34,tox,tensor(0.9406)
35,35,0,35,tox,tensor(0.9414)
36,36,0,36,tox,tensor(0.9422)
37,37,0,37,tox,tensor(0.9430)
38,38,0,38,tox,tensor(0.9437)
39,39,0,39,tox,tensor(0.9444)
40,40,0,40,tox,tensor(0.9451)
41,41,0,41,tox,tensor(0.9457)
42,42,0,42,tox,tensor(0.9463)
43,43,0,43,tox,tensor(0.9469)
44,44,0,44,tox,tensor(0.9474)
45,45,0,45,tox,tensor(0.9479)
46,46,0,46,tox,tensor(0.9484)
47,47,0,47,tox,tensor(0.9489)
48,48,0,48,tox,tensor(0.9494)
49,49,0,49,tox,tensor(0.9498)
