,epoch,minibatch,trainstep,task,binacc
0,0,0,0,tox,tensor(0.3032)
1,1,0,1,tox,tensor(0.3161)
2,2,0,2,tox,tensor(0.3204)
3,3,0,3,tox,tensor(0.3387)
4,4,0,4,tox,tensor(0.3639)
5,5,0,5,tox,tensor(0.3742)
6,6,0,6,tox,tensor(0.3816)
7,7,0,7,tox,tensor(0.3863)
8,8,0,8,tox,tensor(0.3885)
9,9,0,9,tox,tensor(0.3890)
10,10,0,10,tox,tensor(0.3906)
11,11,0,11,tox,tensor(0.3930)
12,12,0,12,tox,tensor(0.3935)
13,13,0,13,tox,tensor(0.3982)
14,14,0,14,tox,tensor(0.4077)
15,15,0,15,tox,tensor(0.4149)
16,16,0,16,tox,tensor(0.4209)
17,17,0,17,tox,tensor(0.4247)
18,18,0,18,tox,tensor(0.4299)
19,19,0,19,tox,tensor(0.4310)
20,20,0,20,tox,tensor(0.4369)
21,21,0,21,tox,tensor(0.4425)
22,22,0,22,tox,tensor(0.4485)
23,23,0,23,tox,tensor(0.4516)
24,24,0,24,tox,tensor(0.4550)
25,25,0,25,tox,tensor(0.4581)
26,26,0,26,tox,tensor(0.4607)
27,27,0,27,tox,tensor(0.4606)
28,28,0,28,tox,tensor(0.4621)
29,29,0,29,tox,tensor(0.4637)
30,30,0,30,tox,tensor(0.4666)
31,31,0,31,tox,tensor(0.4700)
32,32,0,32,tox,tensor(0.4737)
33,33,0,33,tox,tensor(0.4787)
34,34,0,34,tox,tensor(0.4807)
35,35,0,35,tox,tensor(0.4857)
36,36,0,36,tox,tensor(0.4910)
37,37,0,37,tox,tensor(0.4941)
38,38,0,38,tox,tensor(0.4966)
39,39,0,39,tox,tensor(0.5000)
40,40,0,40,tox,tensor(0.5026)
41,41,0,41,tox,tensor(0.5060)
42,42,0,42,tox,tensor(0.5082)
43,43,0,43,tox,tensor(0.5110)
44,44,0,44,tox,tensor(0.5140)
45,45,0,45,tox,tensor(0.5164)
46,46,0,46,tox,tensor(0.5196)
47,47,0,47,tox,tensor(0.5231)
48,48,0,48,tox,tensor(0.5267)
49,49,0,49,tox,tensor(0.5299)
